experience_months,matching_skill_count,matching_skill_percent,experience_score,resume_score,role_similarity_score,shortlisted
195,6.0,42.86,100.0,60.0,33.96768951416016,1
239,15.0,57.69,100.0,70.38,44.65376281738281,1
18,6.0,75.0,12.86,56.36,39.063568115234375,1
68,10.0,26.32,48.57,32.99,41.82944869995117,1
96,4.0,30.77,68.57,42.11,48.68985366821289,1
257,6.0,85.71,100.0,90.0,33.51286697387695,1
0,1.0,20.0,0.0,14.0,30.618572235107425,0
234,16.0,61.54,100.0,73.08,39.85112380981445,1
0,5.0,41.67,0.0,29.17,43.60877990722656,0
0,1.0,11.11,0.0,7.78,49.06044006347656,0
47,10.0,38.46,33.57,36.99,14.160929679870604,1
36,5.0,35.71,25.71,32.71,50.45859909057617,1
0,2.0,20.0,0.0,14.0,50.86304473876953,0
192,12.0,75.0,100.0,82.5,47.83545684814453,1
0,2.0,14.29,0.0,10.0,32.04396438598633,0
0,9.0,40.91,0.0,28.64,43.395606994628906,0
0,2.0,15.38,0.0,10.77,57.105098724365234,0
24,8.0,61.54,17.14,48.22,36.00724029541016,1
24,2.0,12.5,17.14,13.89,39.657657623291016,1
12,1.0,11.11,8.57,10.35,49.248634338378906,1
30,1.0,4.35,21.43,9.47,33.73612594604492,1
0,2.0,15.38,0.0,10.77,57.105098724365234,0
18,6.0,75.0,12.86,56.36,39.063568115234375,1
0,2.0,20.0,0.0,14.0,46.29946517944336,0
166,3.0,42.86,100.0,60.0,41.62906265258789,1
120,3.0,30.0,85.71,46.71,48.48793029785156,1
96,2.0,28.57,68.57,40.57,36.715126037597656,1
195,6.0,42.86,100.0,60.0,33.96768951416016,1
188,7.0,58.33,100.0,70.83,47.42951202392578,1
30,4.0,33.33,21.43,29.76,43.39311218261719,1
47,10.0,38.46,33.57,36.99,14.160929679870604,1
0,2.0,28.57,0.0,20.0,19.355693817138672,0
0,3.0,42.86,0.0,30.0,11.49566650390625,0
0,5.0,22.73,0.0,15.91,56.270145416259766,0
312,7.0,53.85,100.0,67.69,49.39725875854492,1
0,1.0,11.11,0.0,7.78,49.06044006347656,0
144,11.0,61.11,100.0,72.78,35.0181999206543,1
56,8.0,34.78,40.0,36.35,33.1649284362793,1
48,7.0,30.43,34.29,31.59,37.77492904663086,1
384,5.0,50.0,100.0,65.0,38.810829162597656,1
0,1.0,11.11,0.0,7.78,49.06044006347656,0
0,9.0,39.13,0.0,27.39,61.7741813659668,0
120,4.0,50.0,85.71,60.71,51.076133728027344,1
90,7.0,50.0,64.29,54.29,32.31297302246094,1
36,5.0,35.71,25.71,32.71,50.45859909057617,1
156,9.0,81.82,100.0,87.27,8.145353317260742,1
30,2.0,28.57,21.43,26.43,35.388816833496094,1
90,7.0,53.85,64.29,56.98,62.214351654052734,1
